Filename
airplane
alarm clock
backpack
bar stool
basketball hoop
basketball
bathtub
Bed Frame
bed
bench
bicycle
blender
bottle
bowl
bridge
calculator
car
Castle
cat tree
ceiling Fan
chair
chimney
clock tower
coat rack
cone
Controller
cup
curtain
dog collar
door bell
door frame
door handle
door
drill
electric fan
electric guitar
Fence
Ferris Wheel
fire hydrant
fireplace
flashlight
flower
flower_pot
grand piano
guitar
hairbrush
harp
headphones
helicopter
Helmet
hourglass
ice cube tray
keyboard
laboratory flask
lamp
laptop
light bulb
lighthouse
mailbox
microscope
microwave
monster
monster_truck
notebook
objectList
pan
paperclip
park bench
pen pencil
penguin
person
picture frame
pirateship
plant
radio
rocket
roller coaster
rug
screwdriver
ship
shower head
sink
skateboard
smart tv
smartphone Iphone
Soap Dispenser
soccerball
soda can
sofa
space station
speaker
sportscar
stairs
stapler
stick
Stove
street lamp
submarine
suitcase
sunglasses
table lamp
table
tank
teapot
Telescope
tennis racket
tent
tire
toilet
toothbrush
toothpaste
traffic light
trashcan
treasure chest
truck
umbrella
vase
wall clock
wallet
wardrobe
watering can
windmill
wineglass
wristwatch
xbox
